Company Name,Industry,Symbol,Series,ISIN Code
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
